,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Sao Filipe,CV,71.15,14.9,-24.5,83,30,19.06
1,Saint-Philippe,CA,52.47,45.36,-73.48,93,90,3.74
2,Puerto Ayora,EC,77,-0.74,-90.35,95,4,7
3,Henties Bay,NA,55,-22.12,14.28,96,0,5.01
4,Cape Town,ZA,54.61,-33.93,18.42,76,0,4.7
5,Rikitea,PF,77.81,-23.12,-134.97,85,1,20.71
6,Vaini,IN,66.2,15.34,74.49,93,1,3.27
7,Namibe,AO,73.13,-15.19,12.15,78,29,8.01
8,Punta Arenas,CL,33.8,-53.16,-70.91,86,0,6.93
9,Bredasdorp,ZA,53.96,-34.53,20.04,81,100,5.82
10,Kodiak,US,61.52,39.95,-94.76,36,1,5.82
11,Debre Tabor,ET,68.09,11.86,38.01,27,39,4.03
12,Chokurdakh,RU,21.65,70.62,147.9,94,1,6.49
13,Almeirim,PT,55.8,39.21,-8.63,55,0,2.24
14,Pisco,PE,70.23,-13.71,-76.2,68,0,5.82
15,Russell,AR,60.8,-33.01,-68.8,82,0,3.98
16,Mataura,NZ,53.01,-46.19,168.86,96,99,5.57
17,Zonguldak,TR,59.99,41.25,31.83,72,99,5.17
18,Atuona,PF,83.93,-9.8,-139.03,74,28,18.19
19,Cherskiy,RU,30.47,68.75,161.3,90,24,9.06
20,Christchurch,NZ,62.78,-43.53,172.64,72,100,9.17
21,Ribeira Grande,PT,59.99,38.52,-28.7,66,4,17.76
22,Georgetown,GY,77.68,6.8,-58.16,83,75,11.41
23,Tuktoyaktuk,CA,21.2,69.44,-133.03,85,75,14.99
24,Prince Rupert,CA,48.2,54.32,-130.32,81,90,9.17
25,Pearl Lagoon,NI,74.93,12.34,-83.67,99,83,1.92
26,Butaritari,KI,83.57,3.07,172.79,80,100,13.44
27,Albany,US,56.5,42.65,-73.75,87,75,3
28,Mar del Plata,AR,46.31,-46.43,-67.52,62,0,10.49
29,Evensk,RU,45.77,61.92,159.24,44,96,6.11
30,Busselton,AU,63.63,-33.64,115.35,71,98,25.08
31,Zamberk,CZ,35.89,50.09,16.47,93,90,6.93
32,Troyes,FR,34.47,48.3,4.07,100,0,9.17
33,Qaanaaq,GL,23.09,77.48,-69.36,69,0,6.38
34,Paris,FR,37.22,48.86,2.35,80,0,8.05
35,Aquiraz,BR,81.5,-3.9,-38.39,74,0,10.29
36,Broome,GB,40.44,52.47,1.45,81,65,6.93
37,Lebu,ET,60.8,8.96,38.73,44,40,6.93
38,Yangambi,CD,70.97,0.77,24.47,97,53,2.64
39,Port Elizabeth,US,61.27,39.31,-74.98,100,95,6.15
40,Tuatapere,NZ,53.01,-46.13,167.69,96,100,15.61
41,Pringsewu,ID,86.63,-5.36,104.98,59,2,3.53
42,Vila Franca do Campo,PT,59,37.72,-25.43,77,75,9.17
43,Nabire,ID,77.63,-3.36,135.5,91,100,2.51
44,Kodinsk,RU,54.05,58.6,99.18,50,44,9.22
45,Hilo,US,78.62,19.71,-155.08,65,40,13.87
46,Mundybash,RU,60.89,53.21,87.28,31,0,1.12
47,Saint George,GR,56.37,39.45,22.34,87,40,1.54
48,Avarua,CK,80.6,-21.21,-159.78,74,2,14.99
49,Bataipora,BR,71.33,-22.3,-53.27,92,0,3.49
50,The Valley,AI,78.6,18.22,-63.06,74,40,12.75
51,Severo-Yeniseyskiy,RU,47.57,60.37,93.04,76,100,11.63
52,Les Cayes,HT,80.87,18.19,-73.75,74,88,17.76
53,Torbay,CA,39.02,47.66,-52.73,80,90,6.93
54,Geraldton,CA,42.8,49.72,-86.95,93,75,9.17
55,Fare,PF,81.95,-16.7,-151.02,79,25,17.49
56,Tasiilaq,GL,41,65.61,-37.64,86,87,3.36
57,Teya,MX,85.91,21.05,-89.07,62,75,4.7
58,Hasaki,JP,74.01,35.73,140.83,60,75,4.7
59,Jamestown,AU,63.77,-33.21,138.6,44,0,3.78
60,Pangnirtung,CA,26.87,66.15,-65.72,71,87,5.53
61,Kapaa,US,74.37,22.08,-159.32,60,90,5.82
62,Ponta do Sol,BR,65.03,-20.63,-46,96,100,2.73
63,Kavaratti,IN,84.83,10.57,72.64,66,3,9.84
64,San Patricio,PY,74.21,-26.98,-56.83,81,79,10.22
65,Bowen,AU,78.37,-20.01,148.25,50,0,13.87
66,Anadyr,RU,35.28,64.73,177.51,74,40,6.71
67,Sayla,PE,51.71,-15.32,-73.22,44,99,5.03
68,Yellowknife,CA,32.59,62.45,-114.38,55,75,9.17
69,Clyde River,CA,23,70.47,-68.59,92,90,12.75
70,Peniche,PT,55.08,39.36,-9.38,55,0,2.24
71,Ibra,OM,80.69,22.69,58.55,20,0,4.56
72,Aguimes,ES,65.71,27.91,-15.45,55,75,16.11
73,Touros,BR,75.2,-5.2,-35.46,94,40,3.36
74,Bluff,AU,75.29,-23.58,149.07,27,0,12.95
75,Primero de Enero,CU,80.6,21.94,-78.43,78,75,10.29
76,Kuryk,KZ,70.61,43.18,51.68,54,100,10.67
77,Ushuaia,AR,39.2,-54.81,-68.31,64,20,3.36
78,Ust-Karsk,RU,52.07,52.71,118.82,22,59,10
79,Hermanus,ZA,55.33,-34.42,19.24,71,100,10
80,Dikson,RU,16.79,73.51,80.55,78,45,21.03
81,Gat,SN,68,14.69,-16.54,88,0,13.87
82,Snasa,NO,31.37,64.25,12.38,93,100,1.48
83,Barrow,AR,59.63,-38.31,-60.23,80,100,11.14
84,Carnarvon,ZA,56.21,-30.97,22.13,39,14,5.1
85,Nokaneng,BW,63.77,-19.66,22.19,49,0,3.29
86,Shimoda,JP,70.41,34.7,138.93,64,75,8.05
87,New Norfolk,AU,55.54,-42.78,147.06,58,75,10.29
88,Dogondoutchi,NE,92.39,13.64,4.03,45,100,12.17
89,Susuman,RU,34.07,62.78,148.15,83,57,3.33
90,Khovu-Aksy,RU,52.43,51.13,93.72,21,0,2.08
91,Nishihara,JP,71.8,35.74,139.53,72,75,4.7
92,Puerto Baquerizo Moreno,EC,77,-0.9,-89.6,94,90,4.7
93,Narsaq,GL,43.97,60.91,-46.05,71,98,4.09
94,Souillac,FR,36.81,45.6,-0.6,75,0,8.05
95,Pevek,RU,30.83,69.7,170.27,82,100,10.56
96,Atambua,ID,85.01,-9.11,124.89,64,1,5.08
97,Khatanga,RU,10.49,71.98,102.47,88,2,6.46
98,Luderitz,NA,51.8,-26.65,15.16,87,0,1.12
99,Smithers,CA,60.8,54.78,-127.17,29,75,11.41
100,Rundu,NA,64.4,-17.91,19.77,48,0,2.24
101,Portland,US,70.84,45.52,-122.67,33,75,4.7
102,Saint-Louis,CH,34.45,47.59,7.56,89,75,3.36
103,Astorga,ES,37.89,42.46,-6.05,87,1,2.24
104,Salinopolis,BR,82.31,-0.61,-47.36,77,71,13.67
105,Dongobesh,TZ,62.87,-4.07,35.37,81,38,4.41
106,Chuy,UY,69.53,-33.69,-53.46,92,100,17.67
107,Quatre Cocos,MU,75.04,-20.21,57.76,83,75,13.87
108,Katangli,RU,42.35,51.71,143.23,64,97,8.43
109,Vardo,US,64.78,39.62,-77.74,93,90,8.05
110,College,US,45.68,64.86,-147.8,33,75,10.29
111,Moindou,NC,80.6,-21.69,165.68,61,75,9.17
112,Hobart,AU,55.54,-42.88,147.33,62,75,10.29
113,Calabozo,VE,85.01,8.92,-67.43,57,74,9.98
114,San Policarpo,PH,85.37,12.18,125.51,72,25,10.2
115,Huancabamba,PE,58.01,-5.24,-79.45,73,88,7.87
116,Tura,IN,81.77,25.52,90.21,71,8,5.77
117,Cloquet,US,55.63,46.72,-92.46,47,90,8.05
118,Carutapera,BR,78.53,-1.2,-46.02,83,67,5.99
119,Praya,ID,86,-8.71,116.27,74,40,11.41
120,Rock Springs,US,57.2,41.59,-109.2,19,40,19.46
121,Port Alfred,ZA,57.99,-33.59,26.89,88,49,5.46
122,Miandoab,IR,48.47,36.97,46.1,76,1,4.25
123,Grindavik,IS,38.14,63.84,-22.43,69,40,3.36
124,Castro,CL,51.8,-42.48,-73.76,100,90,4.7
125,Tiksi,RU,31.19,71.64,128.87,80,59,18.5
126,Uray,RU,51.17,60.13,64.8,79,0,4.83
127,Longyearbyen,NO,15.8,78.22,15.63,66,20,8.05
128,Ostrovnoy,RU,24.53,68.05,39.51,79,55,16.44
129,Maryborough,AU,77.63,-25.54,152.7,29,0,4.92
130,Aasiaat,GL,39.65,68.71,-52.87,72,60,15.28
131,Katsuura,JP,67.66,33.93,134.5,68,75,13.87
132,Thompson,CA,32,55.74,-97.86,76,90,16.11
133,Tecoanapa,MX,80.6,16.99,-99.26,78,40,8.05
134,Djambala,CG,72.95,-2.55,14.76,92,100,4.88
135,Saldanha,PT,48.29,41.42,-6.55,72,0,7.81
136,Nikolskoye,RU,38.5,59.7,30.79,93,20,6.71
137,Upernavik,GL,27.41,72.79,-56.15,89,0,8.48
138,Suraabad,AZ,57.2,40.82,49.47,82,75,10.29
139,Beyneu,KZ,72.77,45.32,55.19,16,98,22.84
140,Kankakee,US,52.84,41.12,-87.86,57,1,5.82
141,Montana,BG,52.43,43.41,23.22,67,99,5.84
142,Salalah,OM,82.4,17.01,54.1,83,75,3.36
143,Weinan,CN,66.2,34.5,109.46,82,40,4.47
144,Hambantota,LK,78.8,6.12,81.12,100,75,3.36
145,Kruisfontein,ZA,53.87,-34,24.73,79,100,3.02
146,Robertsport,LR,79.97,6.75,-11.37,84,100,0.74
147,Harper,US,68.94,30.3,-99.24,68,1,9.44
148,The Pas,CA,30.2,53.82,-101.24,92,90,10.29
149,San Quintin,PH,91.67,17.54,120.52,45,87,8.37
150,Terrace,CA,55.4,54.52,-128.61,43,75,16.11
151,Cidreira,BR,74.75,-30.17,-50.22,86,100,11.61
152,San Javier,ES,57.78,37.81,-0.83,93,0,8.05
153,Dingle,PH,96.17,11,122.67,38,16,4.18
154,Bikaner,IN,96.89,28.02,73.32,8,0,4.83
155,Belyy Yar,RU,42.8,53.6,91.39,41,0,2.24
156,Bambous Virieux,MU,74.89,-20.34,57.76,83,75,13.87
157,Balaipungut,ID,82.31,1.11,101.31,88,100,3.76
158,Haines Junction,CA,39.47,60.75,-137.51,53,70,2.64
159,Mayor Pablo Lagerenza,PY,81.23,-19.93,-60.77,66,0,12.24
160,Kahului,US,69.58,20.89,-156.47,88,90,8.05
161,Moron,VE,76.37,10.49,-68.2,87,69,2.01
162,Iqaluit,CA,23,63.75,-68.52,85,75,14.99
163,Ciudad Bolivar,VE,85.37,8.12,-63.55,56,98,15.01
164,Spalding,GB,39.43,52.79,-0.15,86,75,5.82
165,Coos Bay,US,55.62,43.37,-124.22,76,1,20.8
166,Honiara,SB,89.6,-9.43,159.96,66,75,2.24
167,Udachnyy,RU,17.6,66.42,112.4,67,75,15.66
168,Chifeng,CN,46.31,42.27,118.96,24,0,24.58
169,Bathsheba,BB,80.6,13.22,-59.52,74,75,20.8
170,Oksfjord,NO,29.86,70.24,22.35,100,88,11.41
171,Yumen,CN,58.19,40.29,97.04,58,96,28.27
172,Okhotsk,RU,47.75,59.36,143.24,44,0,7.99
173,San Andres,PH,92.03,13.32,122.68,51,57,4.59
174,Marseille,FR,46.38,43.3,5.37,57,40,41.38
175,Turukhansk,RU,36.95,65.8,87.96,98,100,17.36
176,Ilulissat,GL,53.6,69.22,-51.1,37,77,20.8
177,Pirgos,GR,69.19,35.12,25.72,82,75,14.99
178,Presidencia Roque Saenz Pena,AR,75.83,-26.79,-60.44,89,34,8.39
179,Kaitangata,NZ,54,-46.28,169.85,72,99,7
180,Homer,US,47.75,59.64,-151.54,58,75,14.99
181,Krasnouralsk,RU,54.23,58.36,60.04,74,0,6.98
182,Baiyin,CN,50,36.55,104.13,100,90,2.24
183,Puri,ID,86,-7.54,112.45,70,20,2.24
184,Bethel,US,45.48,60.79,-161.76,52,90,6.93
185,Havre-Saint-Pierre,CA,33.8,50.23,-63.6,80,90,4.7
186,Nicoya,CR,80.55,10.15,-85.45,62,40,8.05
187,Bokhan,RU,50.27,53.15,103.77,33,13,5.55
188,Saint-Joseph,FR,48.33,43.56,6.97,50,0,23.04
189,Taltal,CL,61.43,-25.41,-70.49,72,0,3.13
190,Provideniya,RU,29.03,64.42,-173.23,98,100,4.56
191,Palauig,PH,85.55,15.44,119.9,67,88,8.99
192,Nome,US,73.56,30.04,-94.42,73,1,6.67
193,Maragogi,BR,74.39,-9.01,-35.22,88,9,2.84
194,Lethem,GY,82.67,3.38,-59.8,61,98,12.88
195,Nantucket,US,47.91,41.28,-70.1,100,90,10.29
196,Sikasso,ML,78.17,11.32,-5.68,67,98,5.97
197,Surt,LY,62.69,31.21,16.59,90,7,17.13
198,Cap Malheureux,MU,75.33,-19.98,57.61,83,75,13.87
199,Makakilo City,US,70.45,21.35,-158.09,94,1,11.41
200,Tchollire,CM,85.91,8.4,14.17,50,89,2.93
201,Saskylakh,RU,16.43,71.97,114.09,92,100,22.77
202,Sioux Lookout,CA,47.12,50.1,-91.92,39,75,9.17
203,El Fuerte,MX,79.07,26.42,-108.62,23,0,5.35
204,Lata,IN,34.25,30.78,78.62,23,0,4.07
205,Zeya,RU,44.15,53.74,127.27,21,0,10.4
206,Sangar,RU,43.61,63.92,127.47,59,0,10.36
207,Holme,GB,38.98,53.7,-2.31,90,0,2.24
208,Nushki,PK,79.79,29.55,66.02,7,0,4.36
209,Puerto Colombia,CO,80.78,10.99,-74.96,83,75,13.87
210,Fallon,US,42.8,46.84,-105.12,62,90,9.17
211,North Bend,US,55,43.41,-124.22,76,1,17.22
212,Meulaboh,ID,82.49,4.14,96.13,70,99,6.67
213,Arlit,NE,89.15,18.74,7.39,8,1,8.23
214,Mahebourg,MU,74.8,-20.41,57.7,83,75,13.87
215,Tiarei,PF,86,-17.53,-149.33,62,75,8.05
216,Labuhan,ID,91.85,-2.54,115.51,49,40,3.11
217,Buraydah,SA,75.2,26.33,43.97,57,0,10.29
218,Cowra,AU,55,-33.84,148.69,69,0,5.01
219,Asahikawa,JP,66.2,43.76,142.37,34,0,3.36
220,Esperance,TT,78.21,10.24,-61.45,74,20,8.05
221,Ati,TD,90.95,13.21,18.34,7,85,7.92
222,Fortuna,ES,57.04,38.18,-1.13,93,0,3.36
223,Southbridge,US,55.92,42.08,-72.03,87,75,3.36
224,Oranjemund,ZA,58.91,-28.55,16.43,88,32,4.36
225,Eureka,US,51.22,40.8,-124.16,87,75,10.29
226,Kostino,BG,53.94,41.7,25.3,87,93,3.36
227,Villa Rica,PE,61.25,-10.74,-75.27,52,2,4.76
228,Zaysan,KZ,52.61,47.47,84.87,37,77,10.02
229,Mount Isa,AU,71.6,-20.73,139.49,33,0,12.75
230,Iquique,CL,66.2,-20.22,-70.14,68,0,11.41
231,Methoni,GR,53.6,36.82,21.7,87,40,5.82
232,Iskateley,RU,31.91,67.68,53.15,86,95,21.74
233,Talnakh,RU,30.2,69.49,88.39,86,75,29.08
234,Mansa,IN,86.45,23.43,72.66,52,1,10.83
235,Sitka,US,62.01,37.17,-99.65,77,82,11.99
236,Toguchin,RU,59.45,55.24,84.4,46,1,10.92
237,Dubreka,GN,80.6,9.79,-13.52,88,75,2.24
238,Bubaque,GW,79.97,11.28,-15.83,65,75,18.84
239,Palermo,CO,80.6,2.89,-75.43,65,40,9.17
240,Mazagao,BR,80.6,-0.12,-51.29,100,75,6.93
241,Novyye Burasy,RU,56.55,52.13,46.08,76,0,2.24
242,Livingston,US,68.9,32.58,-88.19,88,90,5.82
243,Zenzeli,RU,59.27,45.92,47.05,74,100,16.4
244,East London,ZA,55.85,-33.02,27.91,91,6,5.59
245,Lorengau,PG,85.01,-2.02,147.27,68,100,13.04
246,Egvekinot,RU,27.77,66.32,-179.17,95,99,1.88
247,Corrales,CO,46.67,5.83,-72.84,98,100,3.98
248,Pacific Grove,US,57.51,36.62,-121.92,71,1,16.11
249,Moyale,ET,67.91,3.52,39.05,93,90,3.2
250,Vao,EE,33.35,59.1,26.19,91,63,6.13
251,Helena,US,64.4,46.59,-112.04,27,75,13.87
252,Gao,ML,94.01,16.28,-0.04,12,100,10.54
253,Ulaangom,MN,52.97,49.98,92.07,24,73,3.47
254,Riberalta,BO,74.93,-11,-66.08,97,100,1.61
255,Midland,US,71.65,32,-102.08,60,0,11.41
256,Antofagasta,CL,60.8,-23.65,-70.4,82,0,5.82
257,Hosakote,IN,80.69,16.06,75.46,40,29,10.29
258,Lompoc,US,58.15,34.64,-120.46,55,1,13.87
259,Bambanglipuro,ID,83.21,-7.95,110.28,74,6,6.13
260,Gushikawa,JP,77.74,26.35,127.87,65,75,12.75
261,Jiujiang,CN,78.53,29.73,115.99,33,100,6.76
262,Lagoa,PT,57.72,37.14,-8.45,93,0,4.7
263,Richards Bay,ZA,72.23,-28.77,32.06,83,100,6.53
264,Deputatskiy,RU,26.15,69.3,139.9,93,80,5.61
265,Jacmel,HT,81,18.24,-72.54,68,78,1.68
266,Nalut,LY,60.35,31.86,10.98,65,0,14.7
267,Kankan,GN,81.95,10.38,-9.3,57,100,6.08
268,Mwene-Ditu,CD,69.35,-7.01,23.45,88,49,3.33
269,Bilibino,RU,25.97,68.06,166.44,87,1,3.76
270,Lavrentiya,RU,28.31,65.58,-170.99,97,100,3.91
271,Cayenne,GF,78.8,4.94,-52.33,88,99,10.29
272,Cockburn Town,TC,78.89,21.46,-71.14,81,96,20.31
273,Half Moon Bay,US,57.52,37.46,-122.43,76,90,4.7
274,Pavlodar,KZ,51.8,52.28,76.96,29,0,6.71
275,Yar-Sale,RU,35.33,66.83,70.83,80,3,20.8
276,Impfondo,CD,76.01,1.62,18.06,80,98,2.98
277,Komsomolskiy,RU,32.81,67.55,63.78,89,67,20.27
278,Karaton,ID,84.33,-6.34,106.1,66,20,6.93
279,Sao Lourenco do Sul,BR,75.11,-31.37,-51.98,89,98,13.18
280,Palana,RU,35.15,59.08,159.95,72,4,15.73
281,Norman Wells,CA,35.6,65.28,-126.83,43,40,10.29
282,Lapua,FI,29.61,62.97,23.01,86,75,4.7
283,Boa Vista,BR,78.8,2.82,-60.67,83,40,8.05
284,Vung Tau,VN,89.33,10.35,107.08,62,20,5.99
